gene,avg_methylation
B3GALNT1,0.289584871273713
B3GALNT2,0.10666675700090338
B3GALT1,0.7979914905149044
B3GALT2,0.6512796149503154
B3GALT4,0.5068128752139496
B3GALT5,0.4183379960317461
B3GALT6,0.5710116230051183
B3GAT1,0.5969182185806234
B3GAT2,0.31632061653116533
B3GAT3,0.12532057079945794
B3GLCT,0.5
B3GNT2,0.30662426098274154
B3GNT3,0.4249656504065043
B3GNT4,0.2727861371690642
B3GNT5,0.2992742109869016
B3GNT7,0.4319832456559853
B3GNT8,0.3307563431571816
B3GNT9,0.3114415773589556
B4GALNT1,0.3154210760764026
B4GALNT2,0.3571632236619241
B4GALT1,0.2936461325654929
B4GALT2,0.46730680062283103
B4GALT3,0.28216942648024945
B4GALT4,0.19113686418594977
B4GALT5,0.2441912070991337
B4GALT6,0.324608324864499
B4GALT7,0.4761508010521282
B4GAT1,0.42816111562782305
B9D1,0.3221217807274112
B9D2,0.23366805071622146
BAAT,0.6442732046070445
BABAM1,0.2699507664388458
BABAM2,0.5
BACE1,0.2711948557878437
BACH1,0.21195499677377722
BACH2,0.47591449411258674
BAD,0.11827941847335152
BAG3,0.3681922992886179
BAG4,0.09982469681571784
BAG5,0.35894939936418574
BAG6,0.33516123675321974
BAHD1,0.4086359427022843
BAIAP2,0.6715793033462945
BAIAP2L1,0.6240099626036286
BAK1,0.3306792898497165
BAMBI,0.32467027900960843
BANF1,0.11282552827815849
BANF2,0.6140278003613368
BANP,0.7761307886763336
BAP1,0.22984345849379548
BARD1,0.2573034472189959
BARX1,0.3558776430209354
BATF,0.5993476985941736
BATF2,0.40102827461607976
BATF3,0.12534754121499556
BAX,0.20816310975609736
BAZ1A,0.30183803523035246
BAZ1B,0.2483789576236414
BAZ2A,0.27912899788427714
BBC3,0.1706039198001356
BBIP1,0.2065587243854895
BBOX1,0.597814718834688
BBS1,0.15560290711998048
BBS12,0.18044740840215975
BBS2,0.21679564239960603
BBS4,0.13381671747967472
BBS5,0.22426979354862978
BBS7,0.12301378418329642
BBS9,0.49725236155678887
BCAN,0.3776288991284799
BCAP31,0.47680705415183167
BCAR1,0.5641832541173325
BCAS2,0.19768596714092132
BCAS3,0.532597643159389
BCAS4,0.43655240693196434
